sample_id	subject_id	relation_id	timepoint
24211_2_19	B01536	B01536	7
24469_1_10	B01536	B01536	100
24211_2_22	B01539	B01539	4
24469_6_5	B01539	B01539	100
21842_2_19	B01540	B01540	21
21842_2_20	B01540	B01540	4
21842_2_21	B01540	B01540	7
24469_2_15	B01540	B01540	100
21842_2_22	B01543	B01543	21
21842_2_23	B01543	B01543	4
21842_2_24	B01543	B01543	7
24469_6_23	B01543	B01543	100
24211_3_7	B01548	B01548	21
24469_1_19	B01548	B01548	100
37273_3_12	B01550	B01550	14
21842_3_1	B01572	B01572	21
21842_3_2	B01572	B01572	4
21842_3_3	B01572	B01572	7
24469_2_17	B01572	B01572	100
25013_1_3	B01574	B01574	100
25013_3_7	B01574	B01574	4
21842_3_4	B01600	B01600	21
21842_3_5	B01600	B01600	4
21842_3_6	B01600	B01600	7
24469_3_7	B01600	B01600	100
22178_4_18	B01610	B01610	21
22178_4_19	B01610	B01610	4
22178_4_20	B01610	B01610	7
37273_7_5	B01612	B01612	4
37273_3_2	B01613	B01613	7
21842_3_7	B01616	B01616	21
21842_3_8	B01616	B01616	4
21842_3_9	B01616	B01616	7
24469_3_12	B01616	B01616	100
24211_2_17	B01626	B01626	7
24469_3_18	B01626	B01626	100
24211_3_3	B01627	B01627	7
24469_2_9	B01627	B01627	100
37273_3_10	B01630	B01630	7
37273_3_11	B01631	B01631	7
21842_3_10	B01633	B01633	21
21842_3_11	B01633	B01633	4
21842_3_12	B01633	B01633	7
21842_3_13	B01635	B01635	21
21842_3_14	B01635	B01635	4
21842_3_15	B01635	B01635	7
21842_3_16	B01664	B01664	21
21842_3_17	B01664	B01664	4
21842_3_18	B01664	B01664	7
24469_1_23	B01664	B01664	100
37273_3_13	B01665	B01665	7
25013_3_10	B01668	B01668	7
25076_3_15	B01668	B01668	100
24211_3_6	B01670	B01670	7
24469_7_13	B01670	B01670	100
37273_8_7	B01706	B01706	7
24469_4_10	B01710	B01710	7
24469_4_17	B01710	B01710	21
24469_6_11	B01710	B01710	100
37273_3_20	B01711	B01711	4
21940_3_10	B01712	B01712	4
21940_3_11	B01712	B01712	7
21940_3_12	B01712	B01712	21
24469_1_20	B01712	B01712	100
24211_4_1	B01714	B01714	21
24469_1_11	B01714	B01714	100
24469_4_9	B01714	B01714	7
21842_3_19	B01716	B01716	7
21842_3_20	B01716	B01716	0
24469_6_21	B01716	B01716	100
37273_3_17	B01717	B01717	7
21842_3_21	B01719	B01719	4
21842_3_22	B01719	B01719	7
21842_3_23	B01719	B01719	0
21989_7_4	B01719	B01719	21
24759_5_17	B01719	B01719	100
24211_3_8	B01725	B01725	7
24469_3_9	B01725	B01725	100
25013_1_9	B01729	B01729	100
25013_3_11	B01729	B01729	7
37273_8_6	B01730	B01730	7
37273_7_6	B01731	B01731	7
37273_8_4	B01733	B01733	7
37273_3_16	B01735	B01735	7
24469_4_13	B01771	B01771	0
24469_4_14	B01771	B01771	7
24469_4_16	B01771	B01771	4
25076_3_16	B01771	B01771	100
21989_7_5	B01772	B01772	21
21989_7_6	B01772	B01772	4
21989_7_7	B01772	B01772	7
21989_7_8	B01772	B01772	0
24469_6_18	B01772	B01772	100
25013_1_15	B01773	B01773	100
25013_3_13	B01773	B01773	7
37273_3_25	B01773	B01773	4
22607_2_11	B01775	B01775	21
22607_2_3	B01775	B01775	4
22607_2_5	B01775	B01775	7
24469_6_19	B01775	B01775	100
37273_8_10	B01777	B01777	7
22607_2_2	B01782	B01782	4
22607_2_6	B01782	B01782	7
22607_2_9	B01782	B01782	21
24469_2_10	B01782	B01782	100
24211_3_16	B01784	B01784	7
24211_4_7	B01784	B01784	21
25076_5_23	B01784	B01784	100
24211_3_18	B01786	B01786	7
24469_7_23	B01786	B01786	100
25013_1_21	B01787_T1	B01787	100
25013_2_19	B01787_T2	B01787	7
25013_2_3	B01787_T2	B01787	100
25013_3_19	B01787_T1	B01787	7
25013_3_14	B01789	B01789	7
25076_3_17	B01789	B01789	100
24211_3_24	B01791	B01791	7
24469_2_1	B01791	B01791	100
24469_4_11	B01791	B01791	4
37273_3_27	B01794	B01794	7
24469_3_6	B01796	B01796	100
24469_4_12	B01796	B01796	7
22607_2_1	B01797	B01797	4
22607_2_10	B01797	B01797	21
22607_2_4	B01797	B01797	7
24469_1_18	B01797	B01797	100
24211_3_19	B01798	B01798	4
24469_7_9	B01798	B01798	100
24469_2_14	B01799	B01799	100
24469_4_18	B01799	B01799	7
21989_7_10	B01800	B01800	4
21989_7_11	B01800	B01800	7
21989_7_9	B01800	B01800	21
24469_1_22	B01813	B01813	100
24469_4_15	B01813	B01813	4
